qid,sitelinks,awards,sequel
Q1015942,7,0,0
Q102036279,16,1,0
Q102225,90,2,1
Q102235,88,1,0
Q102244,94,1,1
Q102438,99,2,0
Q102448,90,1,1
Q10307713,46,0,0
Q103474,90,7,0
Q103569,83,6,0
Q103742243,9,0,0
Q103935104,12,0,0
Q104044312,24,0,0
Q104123,107,23,0
Q104162861,3,0,0
Q104587599,13,0,0
Q104602566,0,0,0
Q1046295,45,0,0
Q104814,70,6,1
Q104857186,2,0,0
Q1048722,7,0,1
Q104905,97,11,0
Q1049480,36,0,0
Q105031,82,1,0
Q105100020,31,0,0
Q1051469,34,0,0
Q105332215,20,0,0
Q105387,71,8,0
Q105393862,36,2,0
Q1054710,7,0,0
Q105598,78,1,0
Q1056853,53,8,0
Q105795501,13,0,0
Q105840301,33,0,0
Q105883400,42,3,0
Q1061539,30,0,0
Q106371709,23,3,0
Q106514501,15,0,0
Q1066948,41,1,0
Q106969761,3,0,0
Q107073403,15,0,0
Q107105860,46,0,0
Q107208538,13,0,0
Q107920304,27,3,0
Q108067645,9,0,0
Q108179139,1,0,0
Q108314506,40,1,0
Q108456719,43,0,0
Q10855884,7,0,0
Q10858674,44,0,0
Q108628759,47,0,1
Q108671102,56,0,0
Q1087883,34,0,0
Q108839994,81,6,0
Q108846187,2,0,0
Q109228991,58,2,1
Q1092313,34,0,1
Q109301770,6,0,0
Q109355923,14,0,0
Q109356936,5,0,0
Q109456128,1,0,0
Q109927611,2,0,0
Q110126272,39,0,0
Q110138,62,0,0
Q110161848,19,2,0
Q110365,48,11,0
Q110393291,11,0,0
Q110397,51,2,0
Q110519496,28,0,0
Q110617876,38,0,0
Q110633989,12,0,0
Q110645210,2,1,0
Q110666435,6,0,0
Q110878273,6,0,0
Q111010055,2,0,0
Q111399136,16,0,0
Q111458251,33,0,0
Q111601995,13,0,0
Q111668106,32,7,0
Q111948809,9,0,0
Q11216402,8,0,0
Q112265030,6,0,0
Q112801489,46,0,0
Q112892327,13,0,0
Q112977213,39,0,0
Q1130664,32,18,0
Q113244935,54,0,0
Q1133772,31,3,0
Q113380226,50,3,0
Q1136400,30,1,0
Q113877606,52,1,1
Q1140578,41,0,0
Q1140649,37,0,0
Q114246242,46,0,0
Q1144476,18,0,0
Q1146711,36,3,0
Q11533494,8,0,0
Q1156892,25,3,0
Q115890,18,0,0
Q115993222,43,6,0
Q116442876,9,0,0
Q116677364,46,0,0
Q116687945,26,2,0
Q116701124,48,0,0
Q116771681,25,0,0
Q116912522,6,0,0
Q116928,62,6,0
Q117255424,24,1,0
Q117322466,18,1,0
Q117429496,21,0,0
Q117432120,1,0,0
Q117432241,1,0,0
Q117432264,1,0,0
Q117599103,11,0,0
Q117696,33,2,0
Q117748633,15,1,0
Q117793835,11,0,0
Q118347637,1,0,0
Q118414983,1,0,0
Q1187607,54,0,0
Q118978806,0,0,0
Q1191668,12,0,0
Q1196717,14,0,0
Q1198333,33,0,0
Q120333125,4,0,0
Q1204213,24,0,0
Q1204889,17,0,0
Q1205051,31,0,0
Q120544521,7,2,0
Q1206820,29,0,0
Q120897557,20,2,0
Q12124484,15,1,0
Q12125299,50,0,0
Q1212650,37,3,0
Q121502733,3,0,0
Q121600667,1,0,0
Q121888838,0,0,0
Q122580387,5,0,0
Q122581287,5,0,0
Q122889419,5,0,0
Q123145156,1,0,0
Q123928072,44,8,0
Q124061483,4,0,1
Q124457266,47,0,1
Q124806421,52,0,1
Q124830608,4,0,0
Q125058,26,1,0
Q125226421,3,0,0
Q125457384,11,0,0
Q125473145,47,7,0
Q125506907,1,0,0
Q125975336,22,0,0
Q126086666,8,0,0
Q126683577,38,0,0
