uri,slug,name,year,qid,match,wd_year,runtime,directors,director_qids,genres_en,countries,types_en
https://boxd.it/2b0k,the-dark-knight,The Dark Knight,2008,Q163872,slug,2008,153,크리스토퍼 놀런,Q25191,drama film|action film|crime film|neo-noir|superhero film|thriller film|crime thriller film,미국|영국,film
https://boxd.it/dZ5m,the-shape-of-water,The Shape of Water,2017,Q26698156,slug,2017,123,기예르모 델 토로,Q219124,drama film|fantasy film|magic realist film|melodrama|romance film|thriller film,멕시코|미국,film
https://boxd.it/fZd0,the-hatton-garden-job,The Hatton Garden Job,2017,Q50650236,slug,2017,,,,thriller film,영국,film
https://boxd.it/728,forrest-gump,Forrest Gump,1994,Q134773,slug,1994,142,로버트 저메키스,Q187364,drama film|comedy film|tragicomedy|flashback film|coming-of-age film|historical drama|American football film|romantic comedy film,미국,film
https://boxd.it/21tG,lars-and-the-real-girl,Lars and the Real Girl,2007,Q926789,slug,2007,106,크레이그 길레스피,Q3696452,drama film|comedy film,캐나다|미국,film
https://boxd.it/fwdq,1987-when-the-day-comes,1987: When the Day Comes,2017,Q30115075,slug,2017,129,장준환,Q6153892,drama film|political thriller film,대한민국,film
https://boxd.it/2Bsu,now-you-see-me,Now You See Me,2013,Q499851,slug,2013,116,루이 르테리에,Q525332,heist film|crime film,미국|프랑스,film
https://boxd.it/cdsU,rage-2016,Rage,2016,Q21646092,slug,2014,142,이상일,Q614697,mystery film,일본,film
https://boxd.it/fUsk,all-the-money-in-the-world,All the Money in the World,2017,Q30321629,slug,2017,135,리들리 스콧,Q56005,drama film|biographical film|mystery film|thriller film,미국,film
https://boxd.it/6IaA,unbroken,Unbroken,2014,Q15146380,slug,2014,137,안젤리나 졸리,Q13909,drama film|war film|biographical film|athletics film,미국,film
https://boxd.it/azew,hacksaw-ridge,Hacksaw Ridge,2016,Q21010856,slug,2016,131,멜 깁슨,Q42229,drama film|war film|biographical film,미국|오스트레일리아,film
https://boxd.it/eCsu,mudbound,Mudbound,2017,Q25339938,slug,2017,120,디 리스,Q5249943,drama film|war film,미국,film
https://boxd.it/i48I,detective-k-secret-of-the-living-dead,Detective K: Secret of the Living Dead,2018,Q48078430,slug,2018,120,김석윤,Q106269441,action film|adventure film,대한민국,film
https://boxd.it/ekeY,wonder-2017,Wonder,2017,Q27958394,slug,2017,113,스티븐 슈보스키,Q2070360,drama film,미국,film
https://boxd.it/2bcA,blade-runner,Blade Runner,1982,Q184843,slug,1982,112,리들리 스콧,Q56005,drama film|cyberpunk|film noir|action film|science fiction film|crime film|tech noir|neo-noir|thriller film|crime thriller film|dystopian film|crime drama film,미국|홍콩,film
https://boxd.it/71Y,american-beauty,American Beauty,1999,Q25139,slug,1999,121,샘 멘디스,Q223233,drama film|comedy drama|black comedy film|LGBTQ-related film|flashback film,미국,film
https://boxd.it/9roG,wonder-woman-2017,Wonder Woman,2017,Q20502242,slug,2017,141,패티 젱킨스,Q456910,fantasy film|drama film|action film|adventure film|war film|superhero film,미국,superhero film|film
https://boxd.it/dbTQ,sherlock-the-abominable-bride,Sherlock: The Abominable Bride,2016,Q21931680,slug,2016,89,더글러스 매키넌,Q5301772,crime film,영국,television film|television series episode
https://boxd.it/2Emk,chronicle,Chronicle,2012,Q1087883,slug,2012,83,조시 트랭크,Q3186007,fantasy film|drama film|teen film|thriller film|superhero film|found footage film|pseudo-documentary|coming-of-age film,미국|영국,film
https://boxd.it/70w,kill-bill-vol-1,Kill Bill: Vol. 1,2003,Q165325,slug,2003,111,쿠엔틴 타란티노,Q3772,drama film|samurai cinema|action film|martial arts film|splatter film|crime film|girls with guns|thriller film|vigilante film|neo-noir|crime thriller film|crime drama film|wuxia film|action thriller,미국,film
https://boxd.it/6oZI,hwayi-a-monster-boy,Hwayi: A Monster Boy,2013,Q5951794,slug,2013,126,장준환,Q6153892,action film,대한민국,film
https://boxd.it/4jII,masquerade-2012,Masquerade,2012,Q491957,slug,2012,131,추창민,Q5104728,drama film|political film,대한민국,film
https://boxd.it/9Y7S,youth-2015,Youth,2015,Q18703892,slug,2015,118,파올로 소렌티노,Q374678,drama film|comedy film|LGBTQ-related film,이탈리아|스위스|프랑스|영국,film
https://boxd.it/XvG,the-classic,The Classic,2003,Q485525,slug,2003,127,곽재용,Q484686,drama film,대한민국,film
https://boxd.it/PMk,the-employment,The Employment,2008,Q3202893,slug,2008,7,,,,아르헨티나,short film
https://boxd.it/9HYg,the-belier-family,The Bélier Family,2014,Q18214711,slug,2014,106,에리크 라르티고,Q3591218,comedy film|drama film,프랑스,film
https://boxd.it/WJs,the-housemaid,The Housemaid,1960,Q49729,slug,1960,111,김기영,Q494258,psychological horror fiction,대한민국,film
https://boxd.it/1Aqq,thirst-2009,Thirst,2009,Q483780,slug,2009,133,박찬욱,Q315484,fantasy film|drama film|horror film|erotic film|romance film|vampire film,대한민국,film
https://boxd.it/abBm,our-little-sister,Our Little Sister,2015,Q19806501,slug,2015,127,고레에다 히로카즈,Q740758,drama film|family film,일본,film
https://boxd.it/8H5e,the-revenant-2015,The Revenant,2015,Q18002795,slug,2015,157,알레한드로 곤살레스 이냐리투,Q55215,drama film|Western film|biographical film|thriller film|survival film,미국,film
https://boxd.it/5jzS,an-ethics-lesson,An Ethics Lesson,2013,Q6768729,slug,2013,,Park Myeong-rang,Q18145954,drama film|mystery film,대한민국,film
https://boxd.it/1OPa,the-girl-who-leapt-through-time,The Girl Who Leapt Through Time,2006,Q336012,slug,2006,100,호소다 마모루,Q720771,science fiction film|romance film|romance anime and manga|coming-of-age film|science fiction anime|school anime|time-travel film,일본,anime film
https://boxd.it/3r58,captain-america-the-winter-soldier,Captain America: The Winter Soldier,2014,Q1765358,slug,2014,136,앤서니 루소|조 루소,Q18018415|Q20675767,action film|adventure film|science fiction film|superhero film,미국,film
https://boxd.it/89Ja,captain-america-civil-war,Captain America: Civil War,2016,Q18407657,slug,2016,147,앤서니 루소|조 루소,Q18018415|Q20675767,superhero film,미국,film
https://boxd.it/8i7u,sicario-2015,Sicario,2015,Q17337292,slug,2015,121,드니 빌뇌브,Q548823,action film|drama film|crime film|mystery film|thriller film,미국,film
https://boxd.it/d0Y6,dunkirk-2017,Dunkirk,2017,Q21935651,slug,2017,106,크리스토퍼 놀런,Q25191,drama film|war film|historical film,미국|프랑스|영국|네덜란드,film
https://boxd.it/29Du,gattaca,Gattaca,1997,Q491800,slug,1997,101,앤드루 니콜,Q360737,drama film|science fiction film|biopunk|dystopian film|arthouse science fiction film,미국,film
https://boxd.it/araG,steve-jobs,Steve Jobs,2015,Q18754959,slug,2015,122,대니 보일,Q134867,drama film|biographical film,미국|영국,film
https://boxd.it/4pDO,the-lego-movie,The Lego Movie,2014,Q2608065,slug,2014,101,필 로드|Christopher Miller,Q3378803|Q13638984,comedy film|fantasy film|action film|teen film|adventure film|family film|dystopian film|crossover fiction,오스트레일리아|미국|덴마크,animated film
https://boxd.it/8SUM,5-flights-up,5 Flights Up,2014,Q16252530,slug,2014,88,리처드 론크레인,Q1372455,comedy film|drama film,미국,film
https://boxd.it/2bf0,2001-a-space-odyssey,2001: A Space Odyssey,1968,Q103474,slug,1968,143,스탠리 큐브릭,Q2001,epic film|mystery film|space adventure film|arthouse science fiction film,미국|영국,film
https://boxd.it/deeQ,sori-voice-from-the-heart,Sori: Voice from the Heart,2016,Q20945998,slug,2016,,이호재,Q12613202,drama film,대한민국,film
https://boxd.it/2aVE,a-clockwork-orange,A Clockwork Orange,1971,Q181086,slug,1971,136,스탠리 큐브릭,Q2001,drama film|action film|science fiction film|prison film|comedy drama|crime film|exploitation film|mystery film|crime comedy film|thriller film|speculative fiction film|black comedy film|crime thriller film|dystopian film|arthouse science fiction film|crime drama film|satirical film,미국|영국,film
https://boxd.it/4uRQ,kung-fu-panda-3,Kung Fu Panda 3,2016,Q15055043,slug,2016,95,여인영|Alessandro Carloni,Q705711|Q18811838,comedy film|action film|martial arts film|adventure film|children's film,미국|중화인민공화국,animated film
https://boxd.it/2a46,monsters-inc,"Monsters, Inc.",2001,Q187726,slug,2001,92,피트 닥터|리 언크리치|데이비드 실버먼,Q357627|Q380920|Q919608,comedy film|fantasy film|buddy film|children's film|monster film,미국,animated film
https://boxd.it/1VEo,walle,WALL·E,2008,Q104905,slug,2008,98,앤드루 스탠턴,Q328723,comedy film|adventure film|science fiction film|post-apocalyptic film|children's film|science fiction comedy|romance film|adventure science fiction|dystopian film|flashback film|romantic comedy film,미국,animated film
https://boxd.it/1QdM,burne,BURN·E,2008,Q797106,slug,2008,8,앵거스 매클레인,Q17386294,comedy film|adventure film|science fiction film,미국,animated short film
https://boxd.it/4vru,star-wars-the-force-awakens,Star Wars: The Force Awakens,2015,Q6074,slug,2015,138,J. J. 에이브럼스,Q188137,action film|fantasy film|space opera|adventure film|science fiction film|speculative fiction film,미국,film
https://boxd.it/ft7k,steel-rain,Steel Rain,2017,Q29601664,slug,2017,139,양우석,Q16880393,action film|drama film|spy film,대한민국,film
https://boxd.it/948A,the-handmaiden,The Handmaiden,2016,Q20444585,slug,2016,145,박찬욱,Q315484,drama film|romance film|erotic thriller|LGBTQ-related film,대한민국,film
https://boxd.it/1Soi,the-hurt-locker,The Hurt Locker,2008,Q183066,slug,2008,131,캐스린 비글로,Q34816,drama film|action film|war film|independent film|action thriller,미국,film
https://boxd.it/27Vm,return-of-the-jedi,Return of the Jedi,1983,Q181803,slug,1983,130,리처드 마퀀드,Q471402,fantasy film|science fiction film|action film|adventure film,미국,film
https://boxd.it/27Vw,the-empire-strikes-back,The Empire Strikes Back,1980,Q181795,slug,1980,122,어빈 커슈너,Q119348,fantasy film|action film|adventure film|space opera|science fiction film|epic film,미국,film
https://boxd.it/72s,star-wars,Star Wars,1977,Q17738,slug,1977,121,조지 루커스,Q38222,action film|space opera|adventure film|science fiction film|coming-of-age film,미국,film
https://boxd.it/27US,star-wars-episode-iii-revenge-of-the-sith,Star Wars: Episode III – Revenge of the Sith,2005,Q42051,slug,2005,140,조지 루커스,Q38222,action film|fantasy film|space opera|adventure film|science fiction film|epic film|dystopian film,미국,film
https://boxd.it/gRLU,i-can-speak,I Can Speak,2017,Q29949484,slug,2017,119,김현석,Q16028600,drama film|comedy drama,대한민국,film
https://boxd.it/28xK,school-of-rock,School of Rock,2003,Q820753,slug,2003,108,리처드 링클레이터,Q40035,comedy film|musical film,미국|독일,film
https://boxd.it/6r2u,still-life-2013,Still Life,2013,Q15632569,slug,2013,92,Florian Fischer|우베르토 파솔리니|Johannes Krell,Q1429659|Q3547630|Q65924776,drama film|comedy drama,이탈리아|영국|독일,film
https://boxd.it/2XuC,you-are-the-apple-of-my-eye,You Are the Apple of My Eye,2011,Q710908,slug,2011,109,구파도,Q5559504,romance film,중화민국,film
https://boxd.it/1VzS,far-from-heaven,Far from Heaven,2002,Q1130664,slug,2002,107,토드 헤인즈,Q446580,drama film|art film|LGBTQ-related film|romance film,미국,film
https://boxd.it/1dx4,a-single-man,A Single Man,2009,Q300559,slug,2009,99,톰 포드,Q318149,drama film|LGBTQ-related film,미국,film
https://boxd.it/248m,a-tale-of-two-sisters,A Tale of Two Sisters,2003,Q255260,slug,2003,110,김지운,Q484522,drama film|horror film|psychological horror fiction|mystery film,대한민국,film
https://boxd.it/bfGM,hell-or-high-water,Hell or High Water,2016,Q20026847,slug,2016,102,데이비드 매켄지,Q960885,drama film|heist film|crime film|contemporary Western film|police procedural film,미국,film
https://boxd.it/1KJM,r-point,R-Point,2004,Q489554,slug,2004,106,공수창,Q24255143,drama film|horror film|mystery film,대한민국,film
https://boxd.it/3Ijm,side-by-side-2012,Side by Side,2012,Q1840670,slug,2012,99,Christopher Kenneally,Q107346171,documentary film,미국,film
https://boxd.it/7Hpc,boulevard-2014,Boulevard,2014,Q17478848,slug,2014,88,디토 몬티엘,Q1421655,drama film,미국,film
https://boxd.it/cS4,rise-of-the-planet-of-the-apes,Rise of the Planet of the Apes,2011,Q243983,slug,2011,105,루퍼트 와이엇,Q8296,drama film|science fiction film|action film|dystopian film,미국,film
https://boxd.it/2440,the-discreet-charm-of-the-bourgeoisie,The Discreet Charm of the Bourgeoisie,1972,Q308920,slug,1972,96,루이스 부뉴엘,Q51545,fantasy film|comedy film|drama film,스페인|이탈리아|프랑스,film
https://boxd.it/QN4,green-lantern,Green Lantern,2011,Q903885,slug,2011,114,마틴 캠벨,Q282033,fantasy film|action film|science fiction film|superhero film,미국,film
https://boxd.it/7zis,trespass-against-us,Trespass Against Us,2016,Q20002648,slug,2015,99,애덤 스미스,Q16255210,drama film|heist film|gangster film,영국,film
https://boxd.it/d6Ym,frantz,Frantz,2016,Q25395940,slug,2016,113,프랑수아 오종,Q266535,drama film|romance film,프랑스|독일,film
https://boxd.it/ceaW,maudie,Maudie,2016,Q27959296,slug,2016,116,Aisling Walsh,Q2443145,drama film|biographical film,캐나다,film
https://boxd.it/eijC,into-the-forest-2016,Into the Forest,2016,Q48747058,slug,2016,103,질 마르샹,Q3106385,thriller film,프랑스,film
https://boxd.it/aboM,spider-man-homecoming,Spider-Man: Homecoming,2017,Q23010088,slug,2017,133,존 와츠,Q18519749,action film|superhero film,미국,film
https://boxd.it/1Qfe,hedwig-and-the-angry-inch,Hedwig and the Angry Inch,2001,Q1753731,slug,2001,95,존 캐머런 미첼,Q443995,drama film|musical film|LGBTQ-related film|romantic comedy film,미국,film
https://boxd.it/8MxC,guardians-of-the-galaxy-vol-2,Guardians of the Galaxy Vol. 2,2017,Q20001199,slug,2017,136,제임스 건,Q717015,comedy film|science fiction film|adventure film,미국,film
https://boxd.it/8rta,cross-road-2014,Cross Road,2014,,,,,,,,,
https://boxd.it/3VH2,guardians-of-the-galaxy,Guardians of the Galaxy,2014,Q5887360,slug,2014,121,제임스 건,Q717015,comedy film|science fiction film|crime film|superhero film,미국,film
https://boxd.it/fsxG,a-single-rider,A Single Rider,2017,Q28317759,slug,2017,97,이주영,Q113637363,drama film|thriller film,대한민국,film
https://boxd.it/d6bE,moonlight-2016,Moonlight,2016,Q21527875,slug,2016,111,배리 젱킨스,Q26821227,drama film|coming-of-age film|LGBTQ-related film,미국,film
https://boxd.it/2a1m,the-matrix,The Matrix,1999,Q83495,slug,1999,136,릴리 워쇼스키|라나 워쇼스키,Q9544977|Q9545711,cyberpunk|film noir|action film|thriller film|post-apocalyptic film|superhero film|science fiction film|dystopian film|action thriller,오스트레일리아|미국,film
https://boxd.it/7RFk,my-hometown-1976,My Hometown,1976,Q16190680,slug,1976,105,임권택,Q488312,drama film,대한민국,film
https://boxd.it/6BtK,someones-gaze,Someone's Gaze,2013,Q16607557,slug,2013,7,신카이 마코토,Q335080,drama film,일본,short film
https://boxd.it/JY,the-great-gatsby-2013,The Great Gatsby,2013,Q892735,slug,2013,142,배즈 루어먼,Q250545,drama film|romance film|historical film,미국|오스트레일리아,film
https://boxd.it/b2L0,manchester-by-the-sea,Manchester by the Sea,2016,Q19864603,slug,2016,135,케네스 로너건,Q968840,drama film,미국,film
https://boxd.it/1YVs,the-core,The Core,2003,Q1051469,slug,2003,137,존 아미엘,Q1702735,action film|science fiction film|disaster film,미국|영국,film
