season,category,film_id,film_title,shown_title,result,tie,ceremony,ceremony_date,source_permalink,ceremony_page_check
2000,oscar_bp,Q25139,American Beauty,American Beauty,won,False,72nd Academy Awards,2000-03-26,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2000,oscar_bp,Q648977,The Cider House Rules,The Cider House Rules,nominated,False,72nd Academy Awards,2000-03-26,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2000,oscar_bp,Q208263,The Green Mile,The Green Mile,nominated,False,72nd Academy Awards,2000-03-26,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2000,oscar_bp,Q463832,The Insider,The Insider,nominated,False,72nd Academy Awards,2000-03-26,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2000,oscar_bp,Q183063,The Sixth Sense,The Sixth Sense,nominated,False,72nd Academy Awards,2000-03-26,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2001,oscar_bp,Q128518,Gladiator,Gladiator,won,False,73rd Academy Awards,2001-03-25,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2001,oscar_bp,Q220423,Chocolat,Chocolat,nominated,False,73rd Academy Awards,2001-03-25,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2001,oscar_bp,Q273978,"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon",nominated,False,73rd Academy Awards,2001-03-25,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2001,oscar_bp,Q220955,Erin Brockovich,Erin Brockovich,nominated,False,73rd Academy Awards,2001-03-25,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2001,oscar_bp,Q142292,Traffic,Traffic,nominated,False,73rd Academy Awards,2001-03-25,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2002,oscar_bp,Q164103,A Beautiful Mind,A Beautiful Mind,won,False,74th Academy Awards,2002-03-24,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2002,oscar_bp,Q165392,Gosford Park,Gosford Park,nominated,False,74th Academy Awards,2002-03-24,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2002,oscar_bp,Q151945,In the Bedroom,In the Bedroom,nominated,False,74th Academy Awards,2002-03-24,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2002,oscar_bp,Q127367,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,nominated,False,74th Academy Awards,2002-03-24,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
2002,oscar_bp,Q193573,Moulin Rouge!,Moulin Rouge!,nominated,False,74th Academy Awards,2002-03-24,https://en.wikipedia.org/w/index.php?oldid=1375974144,match
